comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,assert_zero,100,0,1.264827013015747
prove,noirky2-bits,assert_zero,100,1,1.2851107120513916
prove,noirky2-bits,assert_zero,100,2,1.259659767150879
prove,noirky2-bits,assert_zero,100,3,1.2744665145874023
prove,noirky2-bits,assert_zero,100,4,1.3117458820343018
prove,noirky2-bits,assert_zero,100,5,1.3969452381134033
prove,noirky2-bits,assert_zero,100,6,1.345773458480835
prove,noirky2-bits,assert_zero,100,7,1.3319263458251953
prove,noirky2-bits,assert_zero,100,8,1.385040044784546
prove,noirky2-bits,assert_zero,100,9,1.3670673370361328
prove,noirky2-bits,assert_zero,100,10,1.3853459358215332
prove,noirky2-bits,assert_zero,100,11,1.3471648693084717
prove,noirky2-bits,assert_zero,100,12,1.3861072063446045
prove,noirky2-bits,assert_zero,100,13,1.3779916763305664
prove,noirky2-bits,assert_zero,100,14,1.390791416168213
prove,noirky2-bits,assert_zero,1000,0,1.4100446701049805
prove,noirky2-bits,assert_zero,1000,1,1.448430061340332
prove,noirky2-bits,assert_zero,1000,2,1.4485433101654053
prove,noirky2-bits,assert_zero,1000,3,1.4468319416046143
prove,noirky2-bits,assert_zero,1000,4,1.458005666732788
prove,noirky2-bits,assert_zero,1000,5,1.591378927230835
prove,noirky2-bits,assert_zero,1000,6,1.677065372467041
prove,noirky2-bits,assert_zero,1000,7,1.7184624671936035
prove,noirky2-bits,assert_zero,1000,8,1.68873929977417
prove,noirky2-bits,assert_zero,1000,9,1.6895396709442139
prove,noirky2-bits,assert_zero,1000,10,1.6575658321380615
prove,noirky2-bits,assert_zero,1000,11,1.6942460536956787
prove,noirky2-bits,assert_zero,1000,12,1.6537961959838867
prove,noirky2-bits,assert_zero,1000,13,1.6794023513793945
prove,noirky2-bits,assert_zero,1000,14,1.7544245719909668
prove,noirky2-bits,assert_zero,10000,0,1.7562994956970215
prove,noirky2-bits,assert_zero,10000,1,1.7171847820281982
prove,noirky2-bits,assert_zero,10000,2,1.8411433696746826
prove,noirky2-bits,assert_zero,10000,3,1.772193193435669
prove,noirky2-bits,assert_zero,10000,4,1.6861042976379395
prove,noirky2-bits,assert_zero,10000,5,1.8254506587982178
prove,noirky2-bits,assert_zero,10000,6,1.748969316482544
prove,noirky2-bits,assert_zero,10000,7,1.7201800346374512
prove,noirky2-bits,assert_zero,10000,8,1.7095842361450195
prove,noirky2-bits,assert_zero,10000,9,1.7279295921325684
prove,noirky2-bits,assert_zero,10000,10,1.6968474388122559
prove,noirky2-bits,assert_zero,10000,11,1.6999320983886719
prove,noirky2-bits,assert_zero,10000,12,1.7217473983764648
prove,noirky2-bits,assert_zero,10000,13,1.8036339282989502
prove,noirky2-bits,assert_zero,10000,14,1.7240111827850342
