comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,assert_zero,100,0,1.4191639423370361
prove,noirky2-bits,assert_zero,100,1,1.3787930011749268
prove,noirky2-bits,assert_zero,100,2,1.4593985080718994
prove,noirky2-bits,assert_zero,100,3,1.4357869625091553
prove,noirky2-bits,assert_zero,100,4,1.5346558094024658
prove,noirky2-bits,assert_zero,100,5,1.679208755493164
prove,noirky2-bits,assert_zero,100,6,1.6629047393798828
prove,noirky2-bits,assert_zero,100,7,1.666245937347412
prove,noirky2-bits,assert_zero,100,8,1.6539437770843506
prove,noirky2-bits,assert_zero,100,9,1.6592519283294678
prove,noirky2-bits,assert_zero,100,10,1.6836915016174316
prove,noirky2-bits,assert_zero,100,11,1.627044677734375
prove,noirky2-bits,assert_zero,100,12,1.6031029224395752
prove,noirky2-bits,assert_zero,100,13,1.6126151084899902
prove,noirky2-bits,assert_zero,100,14,1.6217596530914307
prove,noirky2-bits,assert_zero,1000,0,1.643507719039917
prove,noirky2-bits,assert_zero,1000,1,1.6042428016662598
prove,noirky2-bits,assert_zero,1000,2,1.6327388286590576
prove,noirky2-bits,assert_zero,1000,3,1.6381137371063232
prove,noirky2-bits,assert_zero,1000,4,1.6596767902374268
prove,noirky2-bits,assert_zero,1000,5,1.5928726196289062
prove,noirky2-bits,assert_zero,1000,6,1.6496176719665527
prove,noirky2-bits,assert_zero,1000,7,1.632328748703003
prove,noirky2-bits,assert_zero,1000,8,1.6113450527191162
prove,noirky2-bits,assert_zero,1000,9,1.6136717796325684
prove,noirky2-bits,assert_zero,1000,10,1.611060619354248
prove,noirky2-bits,assert_zero,1000,11,1.6361021995544434
prove,noirky2-bits,assert_zero,1000,12,1.663067102432251
prove,noirky2-bits,assert_zero,1000,13,1.6323552131652832
prove,noirky2-bits,assert_zero,1000,14,1.6209018230438232
prove,noirky2-bits,assert_zero,10000,0,1.6797091960906982
prove,noirky2-bits,assert_zero,10000,1,1.6959779262542725
prove,noirky2-bits,assert_zero,10000,2,1.6781384944915771
prove,noirky2-bits,assert_zero,10000,3,1.7978744506835938
prove,noirky2-bits,assert_zero,10000,4,1.717663288116455
prove,noirky2-bits,assert_zero,10000,5,1.696974515914917
prove,noirky2-bits,assert_zero,10000,6,1.7532868385314941
prove,noirky2-bits,assert_zero,10000,7,1.7693803310394287
prove,noirky2-bits,assert_zero,10000,8,1.723118782043457
prove,noirky2-bits,assert_zero,10000,9,1.7300913333892822
prove,noirky2-bits,assert_zero,10000,10,1.741858720779419
prove,noirky2-bits,assert_zero,10000,11,1.7089195251464844
prove,noirky2-bits,assert_zero,10000,12,1.6972923278808594
prove,noirky2-bits,assert_zero,10000,13,1.732659101486206
prove,noirky2-bits,assert_zero,10000,14,1.7700345516204834
prove,noirky2-bits,assert_zero,100000,0,4.056736946105957
prove,noirky2-bits,assert_zero,100000,1,4.153994798660278
prove,noirky2-bits,assert_zero,100000,2,4.088172197341919
prove,noirky2-bits,assert_zero,100000,3,4.021474123001099
prove,noirky2-bits,assert_zero,100000,4,4.069438219070435
prove,noirky2-bits,assert_zero,100000,5,4.05461859703064
prove,noirky2-bits,assert_zero,100000,6,4.033093690872192
prove,noirky2-bits,assert_zero,100000,7,4.084404468536377
prove,noirky2-bits,assert_zero,100000,8,4.063166379928589
prove,noirky2-bits,assert_zero,100000,9,4.096944332122803
prove,noirky2-bits,assert_zero,100000,10,3.9991073608398438
prove,noirky2-bits,assert_zero,100000,11,4.15443754196167
prove,noirky2-bits,assert_zero,100000,12,4.129921913146973
prove,noirky2-bits,assert_zero,100000,13,4.013849973678589
prove,noirky2-bits,assert_zero,100000,14,4.0390849113464355
