comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,assert_zero,100,0,1.2869882583618164
prove,noirky2-bits,assert_zero,100,1,1.2966563701629639
prove,noirky2-bits,assert_zero,100,2,1.340935468673706
prove,noirky2-bits,assert_zero,100,3,1.3823657035827637
prove,noirky2-bits,assert_zero,100,4,1.3228552341461182
prove,noirky2-bits,assert_zero,100,5,1.3372795581817627
prove,noirky2-bits,assert_zero,100,6,1.6382167339324951
prove,noirky2-bits,assert_zero,100,7,1.6953096389770508
prove,noirky2-bits,assert_zero,100,8,1.7286450862884521
prove,noirky2-bits,assert_zero,100,9,1.706794261932373
prove,noirky2-bits,assert_zero,100,10,1.6387934684753418
prove,noirky2-bits,assert_zero,100,11,1.6486029624938965
prove,noirky2-bits,assert_zero,100,12,1.6717944145202637
prove,noirky2-bits,assert_zero,100,13,1.6152198314666748
prove,noirky2-bits,assert_zero,100,14,1.6056008338928223
prove,noirky2-bits,assert_zero,1000,0,1.6098558902740479
prove,noirky2-bits,assert_zero,1000,1,1.6339187622070312
prove,noirky2-bits,assert_zero,1000,2,1.7239327430725098
prove,noirky2-bits,assert_zero,1000,3,1.5992686748504639
prove,noirky2-bits,assert_zero,1000,4,1.6209118366241455
prove,noirky2-bits,assert_zero,1000,5,1.6255333423614502
prove,noirky2-bits,assert_zero,1000,6,1.623795747756958
prove,noirky2-bits,assert_zero,1000,7,1.6095654964447021
prove,noirky2-bits,assert_zero,1000,8,1.5990488529205322
prove,noirky2-bits,assert_zero,1000,9,1.6125619411468506
prove,noirky2-bits,assert_zero,1000,10,1.6909332275390625
prove,noirky2-bits,assert_zero,1000,11,1.6111030578613281
prove,noirky2-bits,assert_zero,1000,12,1.5908963680267334
prove,noirky2-bits,assert_zero,1000,13,1.6173768043518066
prove,noirky2-bits,assert_zero,1000,14,1.6635606288909912
prove,noirky2-bits,assert_zero,10000,0,1.7178676128387451
prove,noirky2-bits,assert_zero,10000,1,1.7106575965881348
prove,noirky2-bits,assert_zero,10000,2,1.7154147624969482
prove,noirky2-bits,assert_zero,10000,3,1.7132461071014404
prove,noirky2-bits,assert_zero,10000,4,1.692432165145874
prove,noirky2-bits,assert_zero,10000,5,1.7169432640075684
prove,noirky2-bits,assert_zero,10000,6,1.7010297775268555
prove,noirky2-bits,assert_zero,10000,7,1.6933488845825195
prove,noirky2-bits,assert_zero,10000,8,1.700019121170044
prove,noirky2-bits,assert_zero,10000,9,1.6809594631195068
prove,noirky2-bits,assert_zero,10000,10,1.7066295146942139
prove,noirky2-bits,assert_zero,10000,11,1.690596342086792
prove,noirky2-bits,assert_zero,10000,12,1.806973934173584
prove,noirky2-bits,assert_zero,10000,13,1.7062971591949463
prove,noirky2-bits,assert_zero,10000,14,1.7013323307037354
prove,noirky2-bits,assert_zero,100000,0,4.083623647689819
prove,noirky2-bits,assert_zero,100000,1,4.05682635307312
prove,noirky2-bits,assert_zero,100000,2,4.038869619369507
prove,noirky2-bits,assert_zero,100000,3,3.9933888912200928
prove,noirky2-bits,assert_zero,100000,4,4.096264362335205
prove,noirky2-bits,assert_zero,100000,5,4.029149293899536
prove,noirky2-bits,assert_zero,100000,6,3.9833106994628906
prove,noirky2-bits,assert_zero,100000,7,4.059894800186157
prove,noirky2-bits,assert_zero,100000,8,4.051937580108643
prove,noirky2-bits,assert_zero,100000,9,4.119389295578003
prove,noirky2-bits,assert_zero,100000,10,3.9997317790985107
prove,noirky2-bits,assert_zero,100000,11,4.057564973831177
prove,noirky2-bits,assert_zero,100000,12,3.9812095165252686
prove,noirky2-bits,assert_zero,100000,13,4.077276706695557
prove,noirky2-bits,assert_zero,100000,14,4.0135111808776855
prove,noirky2-bits,assert_zero,1000000,0,37.86653661727905
prove,noirky2-bits,assert_zero,1000000,1,38.53010439872742
prove,noirky2-bits,assert_zero,1000000,2,38.21547794342041
prove,noirky2-bits,assert_zero,1000000,3,38.500736236572266
prove,noirky2-bits,assert_zero,1000000,4,38.567052364349365
prove,noirky2-bits,assert_zero,1000000,5,38.35776114463806
prove,noirky2-bits,assert_zero,1000000,6,38.10138821601868
prove,noirky2-bits,assert_zero,1000000,7,38.123477935791016
prove,noirky2-bits,assert_zero,1000000,8,37.803410053253174
prove,noirky2-bits,assert_zero,1000000,9,39.04963779449463
prove,noirky2-bits,assert_zero,1000000,10,37.77033591270447
