comando,backend,ejemplo,n,iteracion,tiempo
write_vk,noirky2-limb-nozk,range/u8,10,0,0.004784584045410156
write_vk,noirky2-bits,range/u16,1,0,0.9545137882232666
write_vk,noirky2-bits,range/u16,10,0,0.9451100826263428
write_vk,noirky2-bits-nozk,range/u16,1,0,0.004131793975830078
write_vk,noirky2-bits-nozk,range/u16,10,0,0.004663228988647461
write_vk,bb,range/u16,1,0,0.6186263561248779
write_vk,bb,range/u16,10,0,0.5995807647705078
write_vk,noirky2-limb,range/u16,1,0,0.873291015625
write_vk,noirky2-limb,range/u16,10,0,0.887366771697998
write_vk,noirky2-limb-nozk,range/u16,1,0,0.0070493221282958984
write_vk,noirky2-limb-nozk,range/u16,10,0,0.005857944488525391
write_vk,noirky2-bits,range/u32,1,0,1.0697810649871826
write_vk,noirky2-bits,range/u32,10,0,0.9848666191101074
write_vk,noirky2-bits-nozk,range/u32,1,0,0.0043735504150390625
write_vk,noirky2-bits-nozk,range/u32,10,0,0.005391597747802734
write_vk,bb,range/u32,1,0,0.703955888748169
write_vk,bb,range/u32,10,0,0.5785942077636719
write_vk,noirky2-limb,range/u32,1,0,0.8882424831390381
write_vk,noirky2-limb,range/u32,10,0,1.031449556350708
write_vk,noirky2-limb-nozk,range/u32,1,0,0.005209207534790039
write_vk,noirky2-limb-nozk,range/u32,10,0,0.005880832672119141
write_vk,noirky2-bits,xor/u8,1,0,0.8976039886474609
write_vk,noirky2-bits,xor/u8,10,0,0.8240172863006592
write_vk,noirky2-bits-nozk,xor/u8,1,0,0.005178213119506836
write_vk,noirky2-bits-nozk,xor/u8,10,0,0.010500431060791016
write_vk,bb,xor/u8,1,0,0.9611091613769531
write_vk,bb,xor/u8,10,0,1.0952293872833252
write_vk,noirky2-limb,xor/u8,1,0,1.0227580070495605
write_vk,noirky2-limb,xor/u8,10,0,1.136561632156372
write_vk,noirky2-limb-nozk,xor/u8,1,0,0.22809886932373047
write_vk,noirky2-limb-nozk,xor/u8,10,0,0.21463775634765625
write_vk,noirky2-bits,xor/u16,1,0,0.8594450950622559
write_vk,noirky2-bits,xor/u16,10,0,1.1120984554290771
