comando,backend,ejemplo,n,byte_size
prove,bb,xor/u8,1000,2176
prove,bb,xor/u8,2000,2176
prove,bb,xor/u8,5000,2176
prove,bb,xor/u8,10000,2176
prove,bb,xor/u8,20000,2176
prove,noirky2-limb,xor/u8,1000,129556
prove,noirky2-limb,xor/u8,2000,128042
prove,noirky2-limb,xor/u8,5000,130722
prove,noirky2-limb,xor/u8,10000,128549
prove,noirky2-limb,xor/u8,20000,129715
prove,noirky2-limb-nozk,xor/u8,1000,111726
prove,noirky2-limb-nozk,xor/u8,2000,112033
prove,noirky2-limb-nozk,xor/u8,5000,109935
prove,noirky2-limb-nozk,xor/u8,10000,113017
prove,noirky2-limb-nozk,xor/u8,20000,112674
prove,noirky2-bits,xor/u16,1000,123535
prove,noirky2-bits,xor/u16,2000,131802
prove,noirky2-bits,xor/u16,5000,134789
prove,noirky2-bits,xor/u16,10000,138861
prove,noirky2-bits,xor/u16,20000,148026
prove,noirky2-bits-nozk,xor/u16,1000,111950
prove,noirky2-bits-nozk,xor/u16,2000,120547
prove,noirky2-bits-nozk,xor/u16,5000,130576
prove,noirky2-bits-nozk,xor/u16,10000,136548
prove,noirky2-bits-nozk,xor/u16,20000,146013
prove,bb,xor/u16,1000,2176
prove,bb,xor/u16,2000,2176
prove,bb,xor/u16,5000,2176
prove,bb,xor/u16,10000,2176
prove,bb,xor/u16,20000,2176
prove,noirky2-limb,xor/u16,1000,127533
prove,noirky2-limb,xor/u16,2000,129840
prove,noirky2-limb,xor/u16,5000,130174
prove,noirky2-limb,xor/u16,10000,127858
prove,noirky2-limb,xor/u16,20000,132286
prove,noirky2-limb-nozk,xor/u16,1000,112783
prove,noirky2-limb-nozk,xor/u16,2000,112183
prove,noirky2-limb-nozk,xor/u16,5000,116855
prove,noirky2-limb-nozk,xor/u16,10000,118030
prove,noirky2-limb-nozk,xor/u16,20000,126186
prove,noirky2-bits,xor/u32,1000,127847
prove,noirky2-bits,xor/u32,2000,131086
prove,noirky2-bits,xor/u32,5000,134921
prove,noirky2-bits,xor/u32,10000,142543
prove,noirky2-bits,xor/u32,20000,151656
prove,noirky2-bits-nozk,xor/u32,1000,120622
prove,noirky2-bits-nozk,xor/u32,2000,124809
prove,noirky2-bits-nozk,xor/u32,5000,132442
prove,noirky2-bits-nozk,xor/u32,10000,135973
prove,noirky2-bits-nozk,xor/u32,20000,148602
prove,bb,xor/u32,1000,2176
prove,bb,xor/u32,2000,2176
prove,bb,xor/u32,5000,2176
prove,bb,xor/u32,10000,2176
prove,bb,xor/u32,20000,2176
prove,noirky2-limb,xor/u32,1000,129040
prove,noirky2-limb,xor/u32,2000,131072
prove,noirky2-limb,xor/u32,5000,126651
prove,noirky2-limb,xor/u32,10000,133577
prove,noirky2-limb,xor/u32,20000,134818
prove,noirky2-limb-nozk,xor/u32,1000,112417
prove,noirky2-limb-nozk,xor/u32,2000,116980
prove,noirky2-limb-nozk,xor/u32,5000,115739
prove,noirky2-limb-nozk,xor/u32,10000,125220
prove,noirky2-limb-nozk,xor/u32,20000,130905
write_vk,noirky2-bits,assert_zero,100,1430
write_vk,noirky2-bits,assert_zero,1000,1430
write_vk,noirky2-bits,assert_zero,10000,1430
write_vk,noirky2-bits,assert_zero,100000,1430
write_vk,noirky2-bits,assert_zero,1000000,1438
write_vk,noirky2-bits-nozk,assert_zero,100,1406
write_vk,noirky2-bits-nozk,assert_zero,1000,1414
write_vk,noirky2-bits-nozk,assert_zero,10000,1422
write_vk,noirky2-bits-nozk,assert_zero,100000,1430
write_vk,noirky2-bits-nozk,assert_zero,1000000,1438
write_vk,bb,assert_zero,100,1719
write_vk,bb,assert_zero,1000,1719
write_vk,bb,assert_zero,10000,1719
write_vk,bb,assert_zero,100000,1719
write_vk,bb,assert_zero,1000000,1719
write_vk,noirky2-bits,memory,100,1450
write_vk,noirky2-bits,memory,500,1450
write_vk,noirky2-bits,memory,1000,1450
write_vk,noirky2-bits,memory,3000,1458
write_vk,noirky2-bits-nozk,memory,100,1442
write_vk,noirky2-bits-nozk,memory,500,1450
write_vk,noirky2-bits-nozk,memory,1000,1450
write_vk,noirky2-bits-nozk,memory,3000,1458
write_vk,bb,memory,100,1719
write_vk,bb,memory,500,1719
write_vk,bb,memory,1000,1719
write_vk,bb,memory,3000,1719
write_vk,noirky2-bits,memory_wide,100,1450
write_vk,noirky2-bits,memory_wide,500,1450
write_vk,noirky2-bits,memory_wide,1000,1450
write_vk,noirky2-bits,memory_wide,3000,1458
write_vk,noirky2-bits-nozk,memory_wide,100,1442
write_vk,noirky2-bits-nozk,memory_wide,500,1450
write_vk,noirky2-bits-nozk,memory_wide,1000,1450
write_vk,noirky2-bits-nozk,memory_wide,3000,1458
write_vk,bb,memory_wide,100,1719
write_vk,bb,memory_wide,500,1719
write_vk,bb,memory_wide,1000,1719
write_vk,bb,memory_wide,3000,1719
write_vk,noirky2-bits,range/u8,1000,1430
write_vk,noirky2-bits,range/u8,2000,1430
write_vk,noirky2-bits,range/u8,5000,1430
write_vk,noirky2-bits,range/u8,10000,1430
write_vk,noirky2-bits,range/u8,20000,1430
write_vk,noirky2-bits-nozk,range/u8,1000,1422
write_vk,noirky2-bits-nozk,range/u8,2000,1422
write_vk,noirky2-bits-nozk,range/u8,5000,1422
write_vk,noirky2-bits-nozk,range/u8,10000,1430
write_vk,noirky2-bits-nozk,range/u8,20000,1430
write_vk,bb,range/u8,1000,1719
write_vk,bb,range/u8,2000,1719
write_vk,bb,range/u8,5000,1719
write_vk,bb,range/u8,10000,1719
write_vk,bb,range/u8,20000,1719
write_vk,noirky2-limb,range/u8,1000,2570
write_vk,noirky2-limb,range/u8,2000,2570
write_vk,noirky2-limb,range/u8,5000,2570
write_vk,noirky2-limb,range/u8,10000,2570
write_vk,noirky2-limb,range/u8,20000,2570
