comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,range/u8,5000,0,1.3807666301727295
prove,noirky2-bits,range/u8,5000,1,1.4000685214996338
prove,noirky2-bits,range/u8,5000,2,1.3916535377502441
prove,noirky2-bits,range/u8,5000,3,1.3954381942749023
prove,noirky2-bits,range/u8,5000,4,1.4361581802368164
prove,noirky2-bits,range/u8,5000,5,1.5458545684814453
prove,noirky2-bits,range/u8,5000,6,1.6818275451660156
prove,noirky2-bits,range/u8,5000,7,1.7397229671478271
prove,noirky2-bits,range/u8,5000,8,1.6493501663208008
prove,noirky2-bits,range/u8,5000,9,1.6923599243164062
prove,noirky2-bits,range/u8,5000,10,1.6598138809204102
prove,noirky2-bits,range/u8,5000,11,1.7008607387542725
prove,noirky2-bits,range/u8,5000,12,1.7509253025054932
prove,noirky2-bits,range/u8,5000,13,1.6521735191345215
prove,noirky2-bits,range/u8,5000,14,1.7417545318603516
prove,noirky2-bits,range/u8,10000,0,3.191241979598999
prove,noirky2-bits,range/u8,10000,1,3.0967092514038086
prove,noirky2-bits,range/u8,10000,2,3.153935432434082
prove,noirky2-bits,range/u8,10000,3,3.146632432937622
prove,noirky2-bits,range/u8,10000,4,3.152414321899414
prove,noirky2-bits,range/u8,10000,5,3.132450819015503
prove,noirky2-bits,range/u8,10000,6,3.1311445236206055
prove,noirky2-bits,range/u8,10000,7,3.112536668777466
prove,noirky2-bits,range/u8,10000,8,3.1340789794921875
prove,noirky2-bits,range/u8,10000,9,3.090555429458618
prove,noirky2-bits,range/u8,10000,10,3.120736837387085
prove,noirky2-bits,range/u8,10000,11,3.151970148086548
prove,noirky2-bits,range/u8,10000,12,3.1158454418182373
prove,noirky2-bits,range/u8,10000,13,3.1196863651275635
prove,noirky2-bits,range/u8,10000,14,3.1364645957946777
prove,noirky2-bits,range/u8,50000,0,6.35208535194397
prove,noirky2-bits,range/u8,50000,1,6.466217279434204
prove,noirky2-bits,range/u8,50000,2,6.4270124435424805
