comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits-nozk,range/u8,100000,13,11.716778755187988
prove,noirky2-bits-nozk,range/u8,100000,14,11.805132865905762
prove,bb,range/u8,5000,0,0.6384367942810059
prove,bb,range/u8,5000,1,0.6678242683410645
prove,bb,range/u8,5000,2,0.6523089408874512
prove,bb,range/u8,5000,3,0.647411584854126
prove,bb,range/u8,5000,4,0.6483316421508789
prove,bb,range/u8,5000,5,0.6464736461639404
prove,bb,range/u8,5000,6,0.6412458419799805
prove,bb,range/u8,5000,7,0.5872023105621338
prove,bb,range/u8,5000,8,0.5691821575164795
prove,bb,range/u8,5000,9,0.5677957534790039
prove,bb,range/u8,5000,10,0.5726480484008789
prove,bb,range/u8,5000,11,0.5734758377075195
prove,bb,range/u8,5000,12,0.5729801654815674
prove,bb,range/u8,5000,13,0.5725836753845215
prove,bb,range/u8,5000,14,0.5746762752532959
prove,bb,range/u8,10000,0,0.9575238227844238
prove,bb,range/u8,10000,1,0.9718351364135742
prove,bb,range/u8,10000,2,0.9753155708312988
prove,bb,range/u8,10000,3,0.97617506980896
prove,bb,range/u8,10000,4,0.9763519763946533
prove,bb,range/u8,10000,5,0.9774045944213867
prove,bb,range/u8,10000,6,0.976738452911377
prove,bb,range/u8,10000,7,0.9828073978424072
prove,bb,range/u8,10000,8,0.9776678085327148
prove,bb,range/u8,10000,9,0.978736162185669
prove,bb,range/u8,10000,10,0.9774057865142822
prove,bb,range/u8,10000,11,0.9793105125427246
prove,bb,range/u8,10000,12,0.9833409786224365
prove,bb,range/u8,10000,13,0.9731853008270264
prove,bb,range/u8,10000,14,0.9805858135223389
prove,bb,range/u8,100000,0,6.56876540184021
prove,bb,range/u8,100000,1,6.798242807388306
prove,bb,range/u8,100000,2,6.78380560874939
prove,bb,range/u8,100000,3,6.738809585571289
prove,bb,range/u8,100000,4,6.7410571575164795
prove,bb,range/u8,100000,5,6.793656349182129
prove,bb,range/u8,100000,6,6.735633373260498
prove,bb,range/u8,100000,7,6.741918563842773
prove,bb,range/u8,100000,8,6.73380970954895
prove,bb,range/u8,100000,9,6.739668846130371
prove,bb,range/u8,100000,10,6.7555530071258545
prove,bb,range/u8,100000,11,6.741525650024414
prove,bb,range/u8,100000,12,6.741481304168701
prove,bb,range/u8,100000,13,6.735170125961304
prove,bb,range/u8,100000,14,6.810154914855957
prove,noirky2-limb,range/u8,5000,0,1.9659740924835205
prove,noirky2-limb,range/u8,5000,1,1.778188943862915
prove,noirky2-limb,range/u8,5000,2,1.7953085899353027
prove,noirky2-limb,range/u8,5000,3,1.8089110851287842
prove,noirky2-limb,range/u8,5000,4,1.782914638519287
prove,noirky2-limb,range/u8,5000,5,1.7856700420379639
prove,noirky2-limb,range/u8,5000,6,1.800234317779541
prove,noirky2-limb,range/u8,5000,7,1.8141255378723145
prove,noirky2-limb,range/u8,5000,8,1.8091843128204346
prove,noirky2-limb,range/u8,5000,9,1.7894821166992188
prove,noirky2-limb,range/u8,5000,10,1.816246747970581
prove,noirky2-limb,range/u8,5000,11,1.793975830078125
prove,noirky2-limb,range/u8,5000,12,1.813185691833496
prove,noirky2-limb,range/u8,5000,13,1.7968642711639404
prove,noirky2-limb,range/u8,5000,14,1.8855226039886475
prove,noirky2-limb,range/u8,10000,0,1.805147409439087
prove,noirky2-limb,range/u8,10000,1,1.8045978546142578
prove,noirky2-limb,range/u8,10000,2,1.8796420097351074
prove,noirky2-limb,range/u8,10000,3,1.8324658870697021
prove,noirky2-limb,range/u8,10000,4,1.8479387760162354
prove,noirky2-limb,range/u8,10000,5,1.821700096130371
prove,noirky2-limb,range/u8,10000,6,1.8386332988739014
prove,noirky2-limb,range/u8,10000,7,1.7975807189941406
prove,noirky2-limb,range/u8,10000,8,1.842688798904419
prove,noirky2-limb,range/u8,10000,9,1.8057856559753418
prove,noirky2-limb,range/u8,10000,10,1.81850266456604
prove,noirky2-limb,range/u8,10000,11,1.8149521350860596
prove,noirky2-limb,range/u8,10000,12,1.8314757347106934
prove,noirky2-limb,range/u8,10000,13,1.8253812789916992
prove,noirky2-limb,range/u8,10000,14,1.815014123916626
prove,noirky2-limb,range/u8,100000,0,2.0033175945281982
prove,noirky2-limb,range/u8,100000,1,1.9758617877960205
prove,noirky2-limb,range/u8,100000,2,2.066770553588867
prove,noirky2-limb,range/u8,100000,3,2.0086519718170166
prove,noirky2-limb,range/u8,100000,4,1.960303544998169
prove,noirky2-limb,range/u8,100000,5,1.957305908203125
prove,noirky2-limb,range/u8,100000,6,2.0610218048095703
prove,noirky2-limb,range/u8,100000,7,1.975783109664917
prove,noirky2-limb,range/u8,100000,8,1.9787185192108154
prove,noirky2-limb,range/u8,100000,9,1.9806270599365234
prove,noirky2-limb,range/u8,100000,10,1.9768285751342773
prove,noirky2-limb,range/u8,100000,11,1.9858522415161133
prove,noirky2-limb,range/u8,100000,12,1.9810290336608887
prove,noirky2-limb,range/u8,100000,13,1.9867703914642334
prove,noirky2-limb,range/u8,100000,14,2.038461208343506
prove,noirky2-limb-nozk,range/u8,5000,0,0.08054780960083008
prove,noirky2-limb-nozk,range/u8,5000,1,0.048839569091796875
prove,noirky2-limb-nozk,range/u8,5000,2,0.08707380294799805
prove,noirky2-limb-nozk,range/u8,5000,3,0.0392451286315918
prove,noirky2-limb-nozk,range/u8,5000,4,0.0529484748840332
prove,noirky2-limb-nozk,range/u8,5000,5,0.09685015678405762
prove,noirky2-limb-nozk,range/u8,5000,6,0.2103898525238037
prove,noirky2-limb-nozk,range/u8,5000,7,0.05185079574584961
prove,noirky2-limb-nozk,range/u8,5000,8,0.05700182914733887
prove,noirky2-limb-nozk,range/u8,5000,9,0.056862831115722656
prove,noirky2-limb-nozk,range/u8,5000,10,0.05346179008483887
prove,noirky2-limb-nozk,range/u8,5000,11,0.06479954719543457
prove,noirky2-limb-nozk,range/u8,5000,12,0.04975748062133789
prove,noirky2-limb-nozk,range/u8,5000,13,0.036876678466796875
prove,noirky2-limb-nozk,range/u8,5000,14,0.13281679153442383
prove,noirky2-limb-nozk,range/u8,10000,0,0.1077125072479248
prove,noirky2-limb-nozk,range/u8,10000,1,0.08862876892089844
prove,noirky2-limb-nozk,range/u8,10000,2,0.07989072799682617
prove,noirky2-limb-nozk,range/u8,10000,3,0.07390427589416504
prove,noirky2-limb-nozk,range/u8,10000,4,0.09161233901977539
prove,noirky2-limb-nozk,range/u8,10000,5,0.07527494430541992
prove,noirky2-limb-nozk,range/u8,10000,6,0.1514418125152588
prove,noirky2-limb-nozk,range/u8,10000,7,0.11821222305297852
prove,noirky2-limb-nozk,range/u8,10000,8,0.09533500671386719
prove,noirky2-limb-nozk,range/u8,10000,9,0.14248299598693848
prove,noirky2-limb-nozk,range/u8,10000,10,0.08397531509399414
prove,noirky2-limb-nozk,range/u8,10000,11,0.09196066856384277
prove,noirky2-limb-nozk,range/u8,10000,12,0.0928964614868164
prove,noirky2-limb-nozk,range/u8,10000,13,0.08359456062316895
prove,noirky2-limb-nozk,range/u8,10000,14,0.08090829849243164
prove,noirky2-limb-nozk,range/u8,100000,0,0.6027193069458008
prove,noirky2-limb-nozk,range/u8,100000,1,0.5115237236022949
prove,noirky2-limb-nozk,range/u8,100000,2,0.5293126106262207
prove,noirky2-limb-nozk,range/u8,100000,3,0.5774979591369629
