comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,range/u8,5000,0,1.4003016948699951
prove,noirky2-bits,range/u8,5000,1,1.3825569152832031
prove,noirky2-bits,range/u8,5000,2,1.4059267044067383
prove,noirky2-bits,range/u8,5000,3,1.4692409038543701
prove,noirky2-bits,range/u8,5000,4,1.6750271320343018
prove,noirky2-bits,range/u8,5000,5,1.760580062866211
prove,noirky2-bits,range/u8,5000,6,1.690417766571045
prove,noirky2-bits,range/u8,5000,7,1.7171952724456787
prove,noirky2-bits,range/u8,5000,8,1.6636641025543213
prove,noirky2-bits,range/u8,5000,9,1.7322959899902344
prove,noirky2-bits,range/u8,5000,10,1.727273941040039
prove,noirky2-bits,range/u8,5000,11,1.7138700485229492
prove,noirky2-bits,range/u8,5000,12,1.6922860145568848
prove,noirky2-bits,range/u8,5000,13,1.6559629440307617
prove,noirky2-bits,range/u8,5000,14,1.6469824314117432
prove,noirky2-bits,range/u8,10000,0,3.116978883743286
prove,noirky2-bits,range/u8,10000,1,3.119718313217163
prove,noirky2-bits,range/u8,10000,2,3.247455358505249
prove,noirky2-bits,range/u8,10000,3,3.1780824661254883
prove,noirky2-bits,range/u8,10000,4,3.1672682762145996
prove,noirky2-bits,range/u8,10000,5,3.122452974319458
prove,noirky2-bits,range/u8,10000,6,3.171854257583618
prove,noirky2-bits,range/u8,10000,7,3.1790006160736084
prove,noirky2-bits,range/u8,10000,8,3.0962603092193604
prove,noirky2-bits,range/u8,10000,9,3.1376376152038574
prove,noirky2-bits,range/u8,10000,10,3.2099366188049316
prove,noirky2-bits,range/u8,10000,11,3.1288087368011475
prove,noirky2-bits,range/u8,10000,12,3.117706298828125
prove,noirky2-bits,range/u8,10000,13,3.1055312156677246
prove,noirky2-bits,range/u8,10000,14,3.1107852458953857
prove,noirky2-bits,range/u8,20000,0,3.16494083404541
prove,noirky2-bits,range/u8,20000,1,3.138442277908325
prove,noirky2-bits,range/u8,20000,2,3.120372772216797
prove,noirky2-bits,range/u8,20000,3,3.0930049419403076
prove,noirky2-bits,range/u8,20000,4,3.156484603881836
prove,noirky2-bits,range/u8,20000,5,3.1299829483032227
prove,noirky2-bits,range/u8,20000,6,3.1104965209960938
prove,noirky2-bits,range/u8,20000,7,3.158771276473999
prove,noirky2-bits,range/u8,20000,8,3.075134038925171
prove,noirky2-bits,range/u8,20000,9,3.094062328338623
prove,noirky2-bits,range/u8,20000,10,3.2352561950683594
prove,noirky2-bits,range/u8,20000,11,3.1177618503570557
prove,noirky2-bits,range/u8,20000,12,3.132075548171997
prove,noirky2-bits,range/u8,20000,13,3.1298468112945557
prove,noirky2-bits,range/u8,20000,14,3.215506076812744
prove,noirky2-bits-nozk,range/u8,5000,0,0.6617541313171387
prove,noirky2-bits-nozk,range/u8,5000,1,0.6079556941986084
